Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
13-MAR-2025,23399.15,23458.2,23262.9,23290,62169251,7484.97
12-MAR-2025,23254.45,23365.9,23200.6,23327.9,71215136,9486.59
11-MAR-2025,22992.35,23258.55,22934.55,23203.35,68039909,7834.16
10-MAR-2025,23110,23288,23015.4,23056.85,65576004,7383.56
07-MAR-2025,23089.35,23235.95,23066.55,23136.2,64206499,6684.96
06-MAR-2025,23175.5,23198.65,22942.4,23163,95011325,10871.88
05-MAR-2025,22985.8,23126.7,22952.25,23050.6,87215729,9873.92
04-MAR-2025,22865,23076.45,22861.05,23028.45,86836917,8884.91
03-MAR-2025,23117.8,23159.95,22855.6,22953,89446358,8862.4
28-FEB-2025,23034.3,23128.75,22925.85,23028.95,170534479,18259.14
27-FEB-2025,23081.8,23261.65,23081.75,23173.65,110087746,13276.3
25-FEB-2025,23008.1,23121.25,23002.6,23036.05,71440981,8658.36
24-FEB-2025,22996.7,23049.05,22842.6,22995.2,61210092,6694.74
21-FEB-2025,23189.65,23288,23030.9,23174.35,65057546,7147.22
20-FEB-2025,23321.3,23396.05,23227.6,23281.4,77243639,8472.22
19-FEB-2025,23197.15,23501.4,23158.4,23456.2,67661048,7285.26
18-FEB-2025,23258.5,23311.15,23092.5,23280.3,66079525,7401.18
17-FEB-2025,23053.6,23293.8,22958.55,23271,69822796,7379.68
14-FEB-2025,23321.8,23368.2,22998.6,23186.9,78403905,8512.22
13-FEB-2025,23195.3,23485.8,23188.45,23272.4,102247614,12416.08
12-FEB-2025,23068.25,23310.1,22819.9,23192.8,98322119,10181.1
11-FEB-2025,23329.55,23358.8,22966,23089.6,84434719,8811.3
10-FEB-2025,23479.8,23532.4,23281.8,23400.35,66269023,7259.07
07-FEB-2025,23724.95,23780.45,23410.8,23539.75,120420747,11480.07
06-FEB-2025,23705.5,23734.3,23571.55,23660.4,104250874,11222.03
05-FEB-2025,23714.4,23743.8,23621.3,23664.4,83677004,10152.77
04-FEB-2025,23288.3,23648.8,23239.6,23620.7,115502146,13319.51
03-FEB-2025,22964.55,23164.6,22911.75,23132.45,97104252,11973.58
01-FEB-2025,23231.75,23387.3,22795.95,23170.25,75410831,7451.96
31-JAN-2025,23122.2,23267.75,23031.95,23220.55,74112705,8829.86
30-JAN-2025,23088.6,23197.25,23012.9,23133.7,100921758,14440.42
29-JAN-2025,22865.7,23060.5,22803.4,23044.95,77962517,8461.64
28-JAN-2025,22650.85,22984,22589.7,22805.9,137448459,15094.83
27-JAN-2025,22357.4,22494.2,22320.85,22383.1,87221183,9184.09
24-JAN-2025,22616.9,22736.25,22458.45,22513.5,82034875,8840.44
23-JAN-2025,22684.55,22719.55,22563.6,22625.85,93854176,11005.99
22-JAN-2025,22607.1,22679.2,22367.3,22650.4,106500032,11528.76
21-JAN-2025,23003.2,23009.4,22492.1,22548.9,99812879,12340.1
20-JAN-2025,22697.7,23025.5,22638.9,22926.7,110107288,12831.25
17-JAN-2025,22803.95,22839.3,22518.3,22608.2,94089211,10402.85
16-JAN-2025,22842.75,22994.85,22832.4,22943.75,111692020,11241.84
15-JAN-2025,22773.95,22821.9,22567.35,22680.1,77483290,8359.76
14-JAN-2025,22521.1,22809.15,22505.55,22722.15,98666299,10213.7
13-JAN-2025,22503.95,22659.5,22357.95,22400.45,82460984,8488.36
10-JAN-2025,23010.35,23030.5,22684.65,22730.2,79567941,8022.26
09-JAN-2025,23179.95,23221.1,22924.3,23026.15,83094306,10150.26
08-JAN-2025,23420.85,23444.95,23050.3,23236.05,72912953,8577.55
07-JAN-2025,23375.6,23519.1,23288.8,23430.3,58020848,7331.85
06-JAN-2025,23738.05,23801.8,23243.45,23317.85,76972967,9679.86
